match_week,attendance,home_position,away_position,home_performance,away_performance,home_avg_scored,away_avg_scored,home_avg_conceded,away_avg_conceded,home_performance_last_five,away_performance_last_five,home_performance_as_home,away_performance_as_away,home_avg_scored_as_home,away_avg_scored_as_away,home_avg_conceded_as_home,away_avg_conceded_as_away,home_posse,away_posse,home_shotsON,away_shotsON,home_shots,away_shots,home_passes,away_passes,home_corners,away_corners,home_offsides,away_offsides,home_yellows,away_yellows,home_reds,away_reds,home_fouls,away_fouls,Form_Home_Goals_Scored,Form_Home_Goals_Conceded,Form_Home_Shots,Form_Home_Possession,Form_Home_Points,Form_Away_Goals_Scored,Form_Away_Goals_Conceded,Form_Away_Shots,Form_Away_Possession,Form_Away_Points,HomeTeamResult
1,21996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,52.0,48.0,2.0,4.0,17.0,15.0,330.0,298.0,12.0,6.0,0.0,1.0,4.0,2.0,0.0,0.0,13.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L
1,25700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,54.1,45.9,5.0,1.0,15.0,7.0,419.0,352.0,2.0,3.0,5.0,4.0,2.0,4.0,0.0,0.0,10.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D
1,45018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,60.1,39.9,3.0,4.0,14.0,14.0,480.0,316.0,6.0,3.0,1.0,2.0,4.0,4.0,0.0,0.0,17.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D
1,15195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,37.8,62.2,1.0,2.0,8.0,11.0,320.0,548.0,2.0,5.0,3.0,1.0,3.0,5.0,0.0,1.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L
1,17454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,37.8,62.2,1.0,2.0,8.0,11.0,320.0,548.0,2.0,5.0,3.0,1.0,3.0,5.0,0.0,1.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D
1,46894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,37.8,62.2,1.0,2.0,8.0,11.0,320.0,548.0,2.0,5.0,3.0,1.0,3.0,5.0,0.0,1.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D
1,27421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,37.8,62.2,1.0,2.0,8.0,11.0,320.0,548.0,2.0,5.0,3.0,1.0,3.0,5.0,0.0,1.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D
1,25360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,37.8,62.2,1.0,2.0,8.0,11.0,320.0,548.0,2.0,5.0,3.0,1.0,3.0,5.0,0.0,1.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L
1,46802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,37.8,62.2,1.0,2.0,8.0,11.0,320.0,548.0,2.0,5.0,3.0,1.0,3.0,5.0,0.0,1.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W
2,47751,6.0,10.0,0.33,0.33,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,50.0,50.0,3.0,6.0,15.0,13.0,269.0,275.0,8.0,6.0,0.0,2.0,2.0,3.0,1.0,0.0,17.0,9.0,0.0,0.0,14.0,39.9,1.0,0.0,0.0,8.0,37.8,1.0,L
2,60090,10.0,6.0,0.33,0.33,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,37.8,62.2,1.0,2.0,8.0,11.0,320.0,548.0,2.0,5.0,3.0,1.0,3.0,5.0,0.0,1.0,10.0,11.0,0.0,0.0,11.0,62.2,1.0,0.0,0.0,14.0,60.1,1.0,L
2,32319,10.0,16.0,0.33,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0,51.6,48.4,5.0,2.0,10.0,12.0,407.0,382.0,5.0,4.0,1.0,4.0,3.0,0.0,0.0,0.0,9.0,13.0,0.0,0.0,7.0,45.9,1.0,0.0,0.0,17.0,52.0,0.0,W
2,35008,18.0,19.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0,0,0,0,51.8,48.2,4.0,1.0,14.0,4.0,433.0,422.0,2.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,37.8,0.0,L
